Johannesburg,ZA,18.5,17.2,15.0,21.0,65,3.5,clear sky,2026-06-05 08:30:00
Cape Town,ZA,14.0,13.0,11.0,16.0,80,5.2,light rain,2026-06-05 08:30:00
Johannesburg,ZA,8.21,8.21,7.81,9.37,69,0.89,clear sky,2026-06-05 10:31:20
Cape Town,ZA,14.46,13.92,13.27,15.71,75,0.89,clear sky,2026-06-05 10:31:20
Durban,ZA,18.2,17.72,18.2,18.2,63,5.45,clear sky,2026-06-05 10:31:20
Pretoria,ZA,11.91,10.59,10.87,13.66,55,0.89,clear sky,2026-06-05 10:31:20
Johannesburg,ZA,8.21,8.21,7.81,9.37,69,0.89,clear sky,2026-06-05 10:31:27
Cape Town,ZA,14.46,13.92,13.27,15.71,75,0.89,clear sky,2026-06-05 10:31:27
Durban,ZA,18.2,17.72,18.2,18.2,63,5.45,clear sky,2026-06-05 10:31:27
Pretoria,ZA,11.91,10.59,10.87,13.66,55,0.89,clear sky,2026-06-05 10:31:27
Johannesburg,ZA,8.58,8.58,7.81,9.3,69,0.89,clear sky,2026-06-05 10:45:12
Cape Town,ZA,15.33,14.77,14.38,16.06,71,0.45,clear sky,2026-06-05 10:45:12
Durban,ZA,21.96,21.57,21.71,21.96,52,4.47,clear sky,2026-06-05 10:45:12
Pretoria,ZA,12.92,11.63,11.43,13.66,52,0.89,clear sky,2026-06-05 10:45:12
Springs,ZA,9.37,7.76,9.37,9.37,45,3,clear sky,2026-06-05 10:45:12
Johannesburg,ZA,8.51,8.51,7.73,9.35,71,0.89,clear sky,2026-06-05 10:48:27
Cape Town,ZA,15.33,14.77,14.38,16.06,71,0.89,clear sky,2026-06-05 10:48:27
Durban,ZA,21.96,21.57,21.71,21.96,52,4.47,clear sky,2026-06-05 10:48:27
Pretoria,ZA,12.92,11.63,11.43,14.21,52,0.89,clear sky,2026-06-05 10:48:27
Springs,ZA,9.37,7.76,9.37,9.37,45,3,clear sky,2026-06-05 10:48:27
Johannesburg,ZA,8.51,8.51,7.73,9.35,71,0.89,clear sky,2026-06-05 10:48:34
Cape Town,ZA,15.33,14.77,14.38,16.06,71,0.89,clear sky,2026-06-05 10:48:34
Durban,ZA,21.96,21.57,21.71,21.96,52,4.47,clear sky,2026-06-05 10:48:34
Pretoria,ZA,12.92,11.63,11.43,14.21,52,0.89,clear sky,2026-06-05 10:48:34
Springs,ZA,9.37,7.76,9.37,9.37,45,3,clear sky,2026-06-05 10:48:34
Johannesburg,ZA,8.51,8.51,7.73,9.35,71,0.89,clear sky,2026-06-05 10:54:25
Cape Town,ZA,15.33,14.77,14.38,16.06,71,0.89,clear sky,2026-06-05 10:54:25
Durban,ZA,21.96,21.57,21.71,21.96,52,4.47,clear sky,2026-06-05 10:54:25
Pretoria,ZA,12.92,11.63,11.43,14.21,52,0.89,clear sky,2026-06-05 10:54:25
Springs,ZA,9.37,7.76,9.37,9.37,45,3,clear sky,2026-06-05 10:54:25
