city,country,temperature_c,feels_like_c,temp_min_c,temp_max_c,humidity_percent,wind_speed_mps,condition,extracted_at
Johannesburg,ZA,8.51,8.51,7.73,9.35,71,0.89,clear sky,2026-06-05 10:49:38
Cape Town,ZA,15.33,14.77,14.38,16.06,71,0.89,clear sky,2026-06-05 10:49:38
Durban,ZA,21.96,21.57,21.71,21.96,52,4.47,clear sky,2026-06-05 10:49:38
Pretoria,ZA,12.92,11.63,11.43,14.21,52,0.89,clear sky,2026-06-05 10:49:38
Springs,ZA,9.37,7.76,9.37,9.37,45,3,clear sky,2026-06-05 10:49:38
Johannesburg,ZA,8.51,8.51,7.73,9.35,71,0.89,clear sky,2026-06-05 10:55:06
Cape Town,ZA,15.33,14.77,14.38,16.06,71,0.89,clear sky,2026-06-05 10:55:06
Durban,ZA,21.96,21.57,21.71,21.96,52,4.47,clear sky,2026-06-05 10:55:06
Pretoria,ZA,12.92,11.63,11.43,14.21,52,0.89,clear sky,2026-06-05 10:55:06
Springs,ZA,9.37,7.76,9.37,9.37,45,3,clear sky,2026-06-05 10:55:06
Johannesburg,ZA,11.66,9.95,11.14,13.79,41,1.78,clear sky,2026-08-03 09:21:54
Cape Town,ZA,14.77,14.16,14.77,16.32,71,1.29,overcast clouds,2026-08-03 09:21:54
Durban,ZA,18.75,18.3,18.75,18.75,62,1.86,clear sky,2026-08-03 09:21:54
Pretoria,ZA,15.5,13.99,15.31,15.5,34,0.89,clear sky,2026-08-03 09:21:54
Springs,ZA,10.21,7.81,10.21,10.21,20,2.65,clear sky,2026-08-03 09:21:54
Johannesburg,ZA,12.55,10.88,12.25,14.3,39,1.78,clear sky,2026-08-03 09:31:01
Cape Town,ZA,14.77,14.16,14.77,16.32,71,1.29,overcast clouds,2026-08-03 09:31:01
Durban,ZA,18.75,18.3,18.75,18.75,62,1.86,clear sky,2026-08-03 09:31:01
Pretoria,ZA,15.5,13.99,15.31,15.5,34,0.89,clear sky,2026-08-03 09:31:01
Springs,ZA,10.21,7.81,10.21,10.21,20,2.65,clear sky,2026-08-03 09:31:01
